species	env	lfc	se	q_value	lower	upper	abn
Xanthomonas vesicatoria	modern_calculus	-0.5715582294274597	1.034772479081321	0.6978767858273882	-1.6063307085087808	0.4632142496538614	model_calculus
Xanthomonas vesicatoria	subgingival_plaque	0.2568919285972723	0.6572807901194755	0.8217850367501468	-0.4003888615222032	0.9141727187167478	subgingival_plaque
Xanthomonas vesicatoria	supragingival_plaque	0.8167783554403251	0.4339691962971358	0.0998897900204519	0.38280915914318925	1.2507475517374609	supragingival_plaque
Pseudomonas stutzeri	modern_calculus	0.7599478815157927	0.6079311626647083	0.3399491714143215	0.15201671885108448	1.3678790441805009	modern_calculus
Pseudomonas stutzeri	subgingival_plaque	-0.7353371549549697	0.8782066718662437	0.5876117799638304	-1.6135438268212132	0.14286951691127403	model_calculus
Pseudomonas stutzeri	supragingival_plaque	-0.6730472968031472	0.8284445711200171	0.5377125453708488	-1.5014918679231644	0.1553972743168699	model_calculus
Pseudomonas aeruginosa	modern_calculus	1.947264780693267	0.6974375623522922	0.014283248001520841	1.2498272183409749	2.644702343045559	modern_calculus
Pseudomonas aeruginosa	subgingival_plaque	-1.4238783929183805	1.0438638746376985	0.3236561791221985	-2.467742267556079	-0.380014518280682	model_calculus
Pseudomonas aeruginosa	supragingival_plaque	-0.6189288835139319	0.9740107388403522	0.6408160935484127	-1.592939622354284	0.3550818553264202	model_calculus
Haemophilus haemolyticus	modern_calculus	3.527549016463988	1.2099384489728553	0.010005926082963289	2.3176105674911325	4.7374874654368435	modern_calculus
Haemophilus haemolyticus	subgingival_plaque	5.7945941368646405	0.6630596294739631	4.088257020272327e-17	5.131534507390677	6.457653766338604	subgingival_plaque
Haemophilus haemolyticus	supragingival_plaque	8.282327465625743	0.6366677491380447	1.8492947590487977e-37	7.645659716487698	8.918995214763788	supragingival_plaque
Haemophilus influenzae	modern_calculus	2.933398952220153	0.9563040796502809	0.006264954807449465	1.977094872569872	3.8897030318704338	modern_calculus
Haemophilus influenzae	subgingival_plaque	4.054964834005899	0.7869780870116392	1.8559214424688706e-6	3.26798674699426	4.841942921017538	subgingival_plaque
Haemophilus influenzae	supragingival_plaque	6.490000805030519	0.7375721445295771	1.2317434613838941e-17	5.752428660500942	7.227572949560096	supragingival_plaque
Haemophilus parainfluenzae	modern_calculus	1.8483892952101382	0.7741967692603562	0.03857906166874488	1.074192525949782	2.6225860644704944	modern_calculus
Haemophilus parainfluenzae	subgingival_plaque	3.165387653780618	0.425117041181087	1.2570749423247917e-12	2.740270612599531	3.590504694961705	subgingival_plaque
Haemophilus parainfluenzae	supragingival_plaque	5.860931255987944	0.5338933551074769	6.64222005634577e-27	5.327037900880467	6.39482461109542	supragingival_plaque
Haemophilus sp. oral taxon 036	modern_calculus	3.2976597398538132	1.1511953109354196	0.011620877461220607	2.1464644289183936	4.448855050789232	modern_calculus
Haemophilus sp. oral taxon 036	subgingival_plaque	6.230955293770497	0.5313721889525704	3.0267188510109245e-30	5.699583104817926	6.762327482723067	subgingival_plaque
Haemophilus sp. oral taxon 036	supragingival_plaque	8.923383513283792	0.3879402561859852	3.7821561933348747e-115	8.535443257097807	9.311323769469777	supragingival_plaque
Pasteurella multocida	modern_calculus	2.2951557741961777	1.1351687941186102	0.08995814390482078	1.1599869800775675	3.430324568314788	modern_calculus
Pasteurella multocida	subgingival_plaque	2.6480382933949422	1.0676989824637773	0.03429796513526806	1.580339310931165	3.7157372758587197	subgingival_plaque
Pasteurella multocida	supragingival_plaque	4.9720624987988975	0.6504635630807956	1.490823794149914e-13	4.321598935718102	5.622526061879693	supragingival_plaque
Glaesserella parasuis	modern_calculus	-0.23124875435696213	1.2821349066240932	0.8896230772736876	-1.5133836609810554	1.0508861522671311	model_calculus
