freq	prev	p.freq	p.prev	p	contaminant
7.263267686078764e-5	4	0.07985629597626194	NA	0.07985629597626194	TRUE
3.616433456251058e-5	2	0.05986664601562604	NA	0.05986664601562604	TRUE
3.615647991237154e-5	2	0.05626520077159726	NA	0.05626520077159726	TRUE
3.798509673979559e-5	5	0.02545642351821348	NA	0.02545642351821348	TRUE
7.595659752940179e-5	8	0.03489315996766072	NA	0.03489315996766072	TRUE
3.662627026412758e-5	3	0.07529590966766977	NA	0.07529590966766977	TRUE
1.112976163673078e-4	8	0.005218839954540512	NA	0.005218839954540512	TRUE
1.0950537056803678e-4	6	0.03638534520770931	NA	0.03638534520770931	TRUE
3.725891921026181e-5	4	0.02338754080830338	NA	0.02338754080830338	TRUE
6.836743286173395e-4	6	0.04168519849946905	NA	0.04168519849946905	TRUE
1.0805912670359632e-4	2	0.006518769547422954	NA	0.006518769547422954	TRUE
3.710610463052193e-5	4	0.042378736515277744	NA	0.042378736515277744	TRUE
3.805686532767527e-5	5	0.02648300252092579	NA	0.02648300252092579	TRUE
3.6160407237441054e-5	2	0.058072799542043856	NA	0.058072799542043856	TRUE
1.1719544003326618e-4	6	0.011452595529381325	NA	0.011452595529381325	TRUE
0.004145010267382944	24	0.04013483608039202	NA	0.04013483608039202	TRUE
3.5948108317939716e-4	4	0.05212487932676115	NA	0.05212487932676115	TRUE
2.5424972713875005e-4	7	0.03497515088324996	NA	0.03497515088324996	TRUE
3.614469793716298e-5	2	0.05075714111900559	NA	0.05075714111900559	TRUE
3.660458365602918e-5	3	0.07256188181515513	NA	0.07256188181515513	TRUE
0.0021412242289613605	28	0.08764590362767931	NA	0.08764590362767931	TRUE
6.985109261777483e-4	7	0.01565840594686202	NA	0.01565840594686202	TRUE
3.8045093020570405e-5	7	0.08231048209811372	NA	0.08231048209811372	TRUE
3.6155728718948366e-5	2	0.020945068312064476	NA	0.020945068312064476	TRUE
3.616424535498628e-5	2	0.02850876523834562	NA	0.02850876523834562	TRUE
5.125495922046586e-4	14	0.06667563351259082	NA	0.06667563351259082	TRUE
3.687924058836975e-5	3	0.08392286489218453	NA	0.08392286489218453	TRUE
3.1948160099570096e-5	5	0.09925056668910294	NA	0.09925056668910294	TRUE
7.507038471865226e-7	2	0.0011149096722616052	NA	0.0011149096722616052	TRUE
